match_id,official_match_number,date,kickoff_utc,home_team,away_team,group,stage,venue,venue_country,venue_continent,status,actual_home_goals,actual_away_goals
M055,59,2026-06-25T19:00:00,2026-06-26T02:00:00,TUR,USA,D,Group,SoFi Stadium,United States,North America,scheduled,,
M056,60,2026-06-25T19:00:00,2026-06-26T02:00:00,PAR,AUS,D,Group,Levi's Stadium,United States,North America,scheduled,,
M057,55,2026-06-25T16:00:00,2026-06-25T20:00:00,CUW,CIV,E,Group,Lincoln Financial Field,United States,North America,scheduled,,
M058,56,2026-06-25T16:00:00,2026-06-25T20:00:00,ECU,GER,E,Group,MetLife Stadium,United States,North America,scheduled,,
M059,57,2026-06-25T18:00:00,2026-06-25T23:00:00,JPN,SWE,F,Group,AT&T Stadium,United States,North America,scheduled,,
M060,58,2026-06-25T18:00:00,2026-06-25T23:00:00,TUN,NED,F,Group,Arrowhead Stadium,United States,North America,scheduled,,
M061,63,2026-06-26T20:00:00,2026-06-27T03:00:00,EGY,IRN,G,Group,Lumen Field,United States,North America,scheduled,,
M062,64,2026-06-26T20:00:00,2026-06-27T03:00:00,NZL,BEL,G,Group,BC Place,Canada,North America,scheduled,,
M063,65,2026-06-26T19:00:00,2026-06-27T00:00:00,CPV,KSA,H,Group,NRG Stadium,United States,North America,scheduled,,
M064,66,2026-06-26T18:00:00,2026-06-27T00:00:00,URU,ESP,H,Group,Estadio Akron,Mexico,North America,scheduled,,
M065,61,2026-06-26T15:00:00,2026-06-26T19:00:00,NOR,FRA,I,Group,Gillette Stadium,United States,North America,scheduled,,
M066,62,2026-06-26T15:00:00,2026-06-26T19:00:00,SEN,IRQ,I,Group,BMO Field,Canada,North America,scheduled,,
M067,69,2026-06-27T21:00:00,2026-06-28T02:00:00,ALG,AUT,J,Group,Arrowhead Stadium,United States,North America,scheduled,,
M068,70,2026-06-27T21:00:00,2026-06-28T02:00:00,JOR,ARG,J,Group,AT&T Stadium,United States,North America,scheduled,,
M069,71,2026-06-27T19:30:00,2026-06-27T23:30:00,COL,POR,K,Group,Hard Rock Stadium,United States,North America,scheduled,,
M070,72,2026-06-27T19:30:00,2026-06-27T23:30:00,COD,UZB,K,Group,Mercedes-Benz Stadium,United States,North America,scheduled,,
M071,67,2026-06-27T17:00:00,2026-06-27T21:00:00,PAN,ENG,L,Group,MetLife Stadium,United States,North America,scheduled,,
M072,68,2026-06-27T17:00:00,2026-06-27T21:00:00,CRO,GHA,L,Group,Lincoln Financial Field,United States,North America,scheduled,,
