team_id,bookmaker,market,collected_at,decimal_odds,source
ESP,Swisslos,champion,2026-06-11T22:02:28,5.5,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
FRA,Swisslos,champion,2026-06-11T22:02:28,5.5,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
ENG,Swisslos,champion,2026-06-11T22:02:28,7.5,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
POR,Swisslos,champion,2026-06-11T22:02:28,7.5,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
ARG,Swisslos,champion,2026-06-11T22:02:28,9.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
BRA,Swisslos,champion,2026-06-11T22:02:28,9.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
GER,Swisslos,champion,2026-06-11T22:02:28,15.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
NED,Swisslos,champion,2026-06-11T22:02:28,20.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
NOR,Swisslos,champion,2026-06-11T22:02:28,25.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
BEL,Swisslos,champion,2026-06-11T22:02:28,35.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
COL,Swisslos,champion,2026-06-11T22:02:28,41.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
JPN,Swisslos,champion,2026-06-11T22:02:28,50.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
MAR,Swisslos,champion,2026-06-11T22:02:28,50.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
MEX,Swisslos,champion,2026-06-11T22:02:28,50.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
SUI,Swisslos,champion,2026-06-11T22:02:28,50.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
TUR,Swisslos,champion,2026-06-11T22:02:28,50.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
CRO,Swisslos,champion,2026-06-11T22:02:28,65.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
USA,Swisslos,champion,2026-06-11T22:02:28,65.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
URU,Swisslos,champion,2026-06-11T22:02:28,70.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
AUT,Swisslos,champion,2026-06-11T22:02:28,80.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
ECU,Swisslos,champion,2026-06-11T22:02:28,85.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
SEN,Swisslos,champion,2026-06-11T22:02:28,120.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
CAN,Swisslos,champion,2026-06-11T22:02:28,130.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
SWE,Swisslos,champion,2026-06-11T22:02:28,130.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
PAR,Swisslos,champion,2026-06-11T22:02:28,160.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
BIH,Swisslos,champion,2026-06-11T22:02:28,200.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
SCO,Swisslos,champion,2026-06-11T22:02:28,250.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
ALG,Swisslos,champion,2026-06-11T22:02:28,300.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
CIV,Swisslos,champion,2026-06-11T22:02:28,300.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
CZE,Swisslos,champion,2026-06-11T22:02:28,300.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
EGY,Swisslos,champion,2026-06-11T22:02:28,300.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
GHA,Swisslos,champion,2026-06-11T22:02:28,400.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
